"","USOXcod","USOX.","Species","Year.x","Date","Location.x","Delta.13C","C.Amount..ug.","Delta.15N","N.Amount..ug.","Delta.S","label1","dC_Ala","dC_Val","dC_Gly","dC_Ile","dC_Leu","dC_Pro","dC_Asp","dC_Phe","dC_Glu","dC_Lys","dN_Ala","dN_Asp","dN_Glu","dN_Gly","dN_Ile","dN_Leu","dN_Lys","dN_Phe","dN_Pro","dN_Val","Essential","Non.essential","XXX","SPCODE","code2","d18O","d13C","d15N","C.N","d34S","AASIA","VVV","code1","d13Ccor","Year","decade","labSPgeo"
"403","a31762","31762","DCCO","1973",NA,"Mandarte Island",-15.05,568.4,16,93.69,12.73,26,-12.568,-11.518,-2.328,-6.953,-19.476,-6.052,-10.172,-18.326,-12.671,-9.739,24.685,25.446,25.46,19.329,23.357,23.383,8.177,8.134,27.654,26.619,-14.06825,-2.328,25.06,"DCCO31762","DC",NA,-15.0459665,15.99682201,6.06649578,12.730222,17.326,7.841322014,"a31762",-13.7787267221632,1973,"1970-1989","DCCO"
"404","a31765","31765","DCCO","1973",NA,"Mandarte Island",-17.5,547.95,15.28,86.33,13.81,27,-13.684,-15.194,-1.313,-8.927,-21.003,-7.938,-12.485,-20.449,-17.608,-14.241,22.237,22.657,22.458,15.672,22.45,23.366,7.28,6.553,27.051,26.183,-16.39325,-1.313,23.5964,"DC31765","DC",NA,-17.50088526,15.28134622,6.346879572,13.81283133,15.905,NA,"a31765",-16.0851203265909,1973,"1970-1989","DCCO"
"405","a31767","31767","DCCO","1973",NA,"Mandarte Island",-17.28,515.57,16.03,88.44,14.91,28,-12.31,-13.389,1.24,-7.262,-19.631,-5.498,-8.344,-19.973,-15.296,-13.404,23.638,24.33,26.902,17.386,24.162,24.575,8.019,7.907,28.878,26.85,-15.06375,1.24,25.7694,"DC31767","DC",NA,-17.27890851,16.03252673,5.829700687,14.91356309,18.995,8.069526733,"a31767",-16.1355232170707,1973,"1970-1989","DCCO"
"422","a33747","33747","PECO","1985","12-Jul-85","Mandarte Island",-17.55,621.67,13.32,88.57,15.78,10,-13.297,-14.359,-0.956,-10.098,-20.108,-7.46,-9.528,-20.876,-14.598,-11.731,20.732,17.097,23.3450164,13.655,21.926,21.77,5.153,5.725,27.641,22.966,-16.36025,-0.956,22.35580328,"PC33747","PC",NA,-17.55465879,13.31720708,7.019058204,15.77667774,17.6200164,7.878207081,"a33747",-15.8152796972885,1985,"1970-1989","PECO"
"423","a33748","33748","PECO","1985","12-Jul-85","Mandarte Island",-17.62,560.5,13.31,84.68,16.17,9,-13.163,-13.529,1.346,-9.234,-19.985,-7.785,-8.962,-20.212,-13.84,-10.945,22.034,16.656,22.8389171,14.645,20.884,20.799,6.107,5.964,25.103,23.14,-15.74,1.346,21.25618342,"PC33748","PC",NA,-17.62362763,13.31297029,6.618932526,16.16583397,16.8749171,7.277470288,"a33748",-16.0717823012879,1985,"1970-1989","PECO"
"424","a33749","33749","PECO","1985","12-Jul-85","Mandarte Island",-17.86,406.15,13.84,76.31,16.23,11,-16.317,-18.844,-2.017,-16.344,-21.244,-14.215,-12.552,-23.098,-14.913,-12.554,21.657,17.452,21.331,13.006,20.134,20.856,6.622,6.618,27.719,23.709,-19.8825,-2.017,21.4984,"PC33749","PC",NA,-17.86254931,13.84195351,5.322623159,16.22927844,14.713,7.221953506,"a33749",-17.0049113706035,1985,"1970-1989","PECO"
"427","a33757","33757","DCCO","1985","12-Jul-85","Mandarte Island",-18.73,567.35,14.23,81.84,15.87,32,-16.182,-16.972,-4.588,-10.64,-22.138,-9.525,-15.303,-22.13,-16.868,-15.228,19.099,20.616,22.492,11.684,20.029,21.663,6.579,4.992,25.639,23.132,-17.97,-4.588,22.0878,"DC33757","DC",NA,-18.727811,14.23401423,6.93202584,15.87114478,17.5,NA,"a33757",-17.0347185902189,1985,"1970-1989","DCCO"
"429","a33759","33759","DCCO","1985","12-Jul-85","Mandarte Island",-13.33,561.34,14.66,94.22,8.55,29,-7.42,-9.306,7.015,-4.26,-16.046,-2.483,-4.111,-16.208,-11.876,-8.142,20.993,21.773,24.144,16.61,22.041,21.148,7.274,6.672,24.342,24.763,-11.455,7.015,22.6896,"DC33759","DC",NA,-13.33248964,14.6600553,5.957799685,8.552492665,17.472,7.687055297,"a33759",-12.1163932422513,1985,"1970-1989","DCCO"
"437","a33789","33789","LSPE","1985","22-Jun-85","Thorton Island",-23.03,572.83,13.76,76.89,19.2,69,-17.108,-22.285,-5.742,-15.952,-26.14,-9.422,-9.884,-25.325,-17.542,-14.434,24.662,17.957,24.123,16.575,24.675,23.262,7.813,5.769,31.457,25.409,-22.4255,-5.742,24.2948,"ls33789","ls",NA,-23.02951709,13.76103145,7.449642999,19.20215837,18.354,6.97003145,"a33789",-21.1058188583321,1985,"1970-1989","LSPE.S"
"438","a33790","33790","LSPE","1985","22-Jun-85","Thorton Island",-23.46,544.15,13.73,67.21,19.17,66,-18.121,-22.247,-7.154,-16.126,-26.12,-10.04,-11.035,-25.227,-17.616,-15.637,24.063,19.011,27.395,19.232,25.029,25.338,6.816,4.868,32.448,24.307,-22.43,-7.154,25.8442,"ls33790","ls",NA,-23.46129647,13.73496628,8.095810107,19.17480357,22.527,7.892966276,"a33790",-21.2713557170535,1985,"1970-1989","LSPE.S"
